TIPO DE INFORMAÇÃO,PERGUNTA,RESPOSTA
LINKS IMPORTANTES,Link do Checkout,https://pay.hotmart.com/K94483735E?off=npg5guia&checkoutMode=10&offDiscount=PROMORELAMPAGOJUNHO2025
LINKS IMPORTANTES,Link da Landing Page,https://cursoexpress.victormolin.com.br/
LINKS IMPORTANTES,Link do Trailer,https://www.youtube.com/watch?v=U2w3SEO7Suo
FAQ,Esse curso é confiável mesmo ou é golpe? 😬,"Pode ficar tranquilo(a)! O curso é 100% confiável, criado por Victor Molin, especialista em audiovisual com iPhone. Você ainda tem 30 dias de garantia! 📸✨"
FAQ,Por que está com 50% de desconto? 🤔,Essa é uma oferta de lançamento! Queremos que mais pessoas conheçam nosso trabalho e vejam o poder do iPhone na fotografia. Aproveita enquanto tá no ar! 🔥
FAQ,Funciona pra qualquer modelo de iPhone?,"Sim! As aulas são feitas para funcionar do iPhone 8 em diante. Mas quanto mais novo o modelo, mais recursos você vai conseguir explorar. 📱💡"
FAQ,É pra quem nunca fotografou antes?,Sim! O curso é perfeito pra quem tá começando e quer aprender de forma simples e rápida. Tudo explicado sem enrolação! 😉
FAQ,Qual a duração total do curso? ⏱️,"O curso tem aproximadamente 1h30 de conteúdo, dividido em aulas curtinhas e práticas. Ideal pra encaixar na rotina! 🎯"
FAQ,Vou conseguir aplicar tudo mesmo sendo leigo?,"Com certeza! As aulas são diretas ao ponto e pensadas pra quem quer aprender na prática, sem termos complicados. 💪"
FAQ,Posso assistir quando quiser?,"Sim! O acesso é imediato e você pode ver as aulas no seu tempo, quantas vezes quiser. É seu pra sempre! 🎥📲"
FAQ,Tem certificado de conclusão? 🎓,"No momento, o foco do curso é no aprendizado prático. Mas em breve teremos novidades! 😉"
FAQ,Posso pagar por Pix ou cartão?,"Sim! Aceitamos Pix, cartão de crédito e até boleto. Tudo de forma segura e prática. 💳✨"
FAQ,E se eu não gostar do curso?,"Você tem 30 dias de garantia. Se não curtir, é só pedir o reembolso. Simples assim! 😌"
OFERTA,Qual é o preço do curso?,"O curso tá com 50% de desconto no lançamento! De R$197 por R$97. E com 30 dias de garantia, então pode testar sem medo."
OFERTA,O desconto é por tempo limitado?,Sim! É uma condição especial de lançamento. Depois o valor volta ao normal.
OFERTA,Como funciona a garantia?,"Você tem 30 dias pra testar. Se não curtir, é só pedir reembolso. Sem burocracia."
OFERTA,Tem bônus incluído?,Sim! Tem aulas bônus e conteúdos extras pra te ajudar a evoluir ainda mais nas fotos.
CONTEÚDO PROGRAMÁTICO,O que eu vou aprender no curso?,"Você vai aprender a usar o iPhone de verdade: modo retrato, burst, live photo, longa exposição e muito mais. Tudo de forma simples e prática."
CONTEÚDO PROGRAMÁTICO,Tem aula sobre como fotografar o nascer do sol?,"Tem sim! Tem aula exclusiva sobre isso, com dicas de luz, ângulo e tudo que uso nos meus cliques."
CONTEÚDO PROGRAMÁTICO,Vou aprender a tirar foto de criança e pet em movimento?,Vai sim! Tem aula específica mostrando como usar a função Burst pra capturar esses momentos.
CONTEÚDO PROGRAMÁTICO,Tem aula sobre fotografar à noite?,Sim! Mostro como fotografar as estrelas e usar a longa exposição no iPhone do jeito certo.
BENEFÍCIOS,Esse curso serve pra quem não tem tempo?,"Serve demais! As aulas são curtas, objetivas e você assiste no seu ritmo."
BENEFÍCIOS,É indicado pra quem nunca estudou fotografia?,"Sim! O curso foi feito justamente pra isso. É simples e direto, sem enrolação técnica."
BENEFÍCIOS,Consigo aplicar o que aprendi no meu dia a dia?,"Com certeza! O curso é todo baseado em situações reais, tipo viagem, dia a dia em casa, rolê com amigos..."
BENEFÍCIOS,Ajuda a melhorar meu conteúdo no Instagram?,Ajuda e muito! Inclusive tem aula que mostro como criar stories e vídeos com visual mais cinematográfico.
OBJEÇÕES,"Já fiz outros cursos e não consegui aprender, esse é diferente?","Esse aqui é diferente mesmo. É direto ao ponto, focado em iPhone e com linguagem simples. Você vai ver resultado logo nas primeiras aulas."
OBJEÇÕES,"Não sou criativo, será que vou conseguir?","A criatividade vem quando você aprende a ferramenta certa. Depois das aulas, você vai ter ideias novas até demais!"
OBJEÇÕES,Tenho medo de comprar e não ser bom pra mim...,"Relaxa! Testa. Se não curtir, é só pedir o reembolso. Sem estresse."
GARANTIA,Quem eu procuro se tiver problema no acesso?,Pode falar direto comigo ou com a equipe pelo suporte. A gente resolve rapidinho.
GARANTIA,"Se eu perder a senha, consigo recuperar?","Consegue sim. Tem opção de recuperar na plataforma e, se não der certo, me chama que eu te ajudo."
TRANSFORMAÇÃO,Vou conseguir melhorar minhas fotos mesmo com pouca luz?,Vai sim! Mostro como lidar com luz baixa e como aproveitar ao máximo o que o iPhone oferece.
TRANSFORMAÇÃO,O curso pode me ajudar a registrar momentos em família?,Demais! Esse é um dos focos principais: transformar momentos simples em memórias incríveis.
TRANSFORMAÇÃO,Vai mudar meu jeito de fotografar?,"Vai. Depois que entender como compor, usar as lentes e explorar os modos certos, você nunca mais vai fotografar igual."
FAQ,O curso é 100% online?,"Sim, tudo online. Você faz no seu tempo, de onde quiser."
FAQ,Quantas aulas tem?,"São 10 aulas principais, mais bate-papos e bônus. Tudo bem completo e direto."
FAQ,Posso assistir pelo celular?,"Sim! Inclusive recomendo assistir pelo próprio iPhone, assim já aplica na hora."
